Platform Name,Manufacture,EnsEmbl,Description,Example,Bioconductor Package,Organism
Affy HuEx 1_0 st v2,Affymetrix,affy_huex_1_0_st_v2,,,,Human
Affy HuGene 1_0 st v1,Affymetrix,affy_hugene_1_0_st_v1,,,,Human
Affy u133 x3p,Affymetrix,affy_u133_x3p,,,,Human
affy_HC_G110,Affymetrix,affy_hc_g110,,,,Human
affy_HG-Focus,Affymetrix,affy_hg_focus,,,,Human
affy_HG-U95A,Affymetrix,affy_hg_u95a,,,,Human
affy_HG-U95Av2,Affymetrix,affy_hg_u95av2,,,,Human
affy_HG-U95B,Affymetrix,affy_hg_u95b,,,,Human
affy_HG-U95C,Affymetrix,affy_hg_u95c,,,,Human
affy_HG-U95D,Affymetrix,affy_hg_u95d,,,,Human
affy_HG-U95E,Affymetrix,affy_hg_u95e,,,,Human
affy_Hu35KsubA,Affymetrix,,,,,Human
affy_hu35ksubb,Affymetrix,,,,,Human
affy_hu35ksubc,Affymetrix,,,,,Human
affy_hu35ksubd,Affymetrix,,,,,Human
affy_Hu6800,Affymetrix,affy_hugenefl,,,,Human
affy_HuGeneFL,Affymetrix,affy_hugenefl,,,,Human
affy_U133_X3P,Affymetrix,affy_u133_x3p,,,,Human
affy_U133A,Affymetrix,affy_hg_u133a,,,,Human
affy_U133A_2,Affymetrix,affy_hg_u133a_2,,,,Human
affy_U133B,Affymetrix,affy_hg_u133b,,,,Human
affy_U133Plus2,Affymetrix,affy_hg_u133_plus_2,,,,Human
Affymetrix human genome U133 (HG-U133A and HG-133B),Affymetrix,affy_hg_u133_plus_2,,,,Human
affy_MOE430A,Affymetrix,affy_moe430a,Affymetrix's GeneChip Mouse Genome 430a arrays,,moe430a.db,Mouse
affy_MOE430B,Affymetrix,affy_moe430b,Affymetrix's GeneChip Mouse Genome 430b arrays,,moe430b.db,Mouse
affy_Mouse430_2,Affymetrix,affy_mouse430_2,Affymetrix's GeneChip Mouse Genome 430 2.0 arrays,,mouse4302.db,Mouse
Affy mg u74a,Affymetrix,affy_mg_u74a,,,,Mouse
